Date,Load,Zone
6/3/2023 3:00,1182.4636,CAPITL
6/3/2023 3:00,1441.4388,CENTRL
6/3/2023 3:00,533.5643,DUNWOD
6/3/2023 3:00,930.5332,GENESE
6/3/2023 3:00,917.0715,HUD VL
6/3/2023 3:00,1817.8593,LONGIL
6/3/2023 3:00,668.3787,MHK VL
6/3/2023 3:00,235.4153,MILLWD
6/3/2023 3:00,4680.9377,N.Y.C.
6/3/2023 3:00,527.711,NORTH
6/3/2023 3:00,1550.9933,WEST
6/3/2023 4:00,1160.5328,CAPITL
6/3/2023 4:00,1439.5753,CENTRL
6/3/2023 4:00,525.1711,DUNWOD
6/3/2023 4:00,913.4513,GENESE
6/3/2023 4:00,899.7253,HUD VL
6/3/2023 4:00,1795.8149,LONGIL
6/3/2023 4:00,656.0916,MHK VL
